Field #,Variable name,Description,"Used in preliminary data (Y=yes, N=no)",Field type,Criteria for inclusion in study,Missing value criteria,Discrepant values,Recoded variable name,Recoded variable values
153,RUPTMET,"Method of rupture of membranes (S=spontaneous, A=artificial, N=none) (coding incomplete)",Y,Label,,"Recode other than S, A, N to missing",,RUPTMECD,"0=S=spontaneous, 1=A=artificial, 2=N=none"
154,DATRUP,Date of rupture of membranes (DDMMYY),N,Date,,,,,
155,TIMRUP,Time membranes ruptured (HHMM),N,Numeric,,Recode numbers HHMM with MM>59 to missing,,,
156,PROLAPSE,"Cord prolapse (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ","""",PROLAPCD,"0=N=no, 1=Y=yes, 9=missing"
157,MANIPUL,"Manipulation of fetus before delivery (N=no manipulation, V=vertex, B=breech, T=transverse/oblique, O=oblique, Z=other)",Y,Label,,"Recode other than N, V, B, T, O, Z to missing ",,MANIPUCD,"0=N=no manipulation, 1=V=vertex, 2=B=breech, 3=T=transverse/oblique, 4=O=oblique, 5=Z=other"
158,CTG,"Electronic fetal heart monitor (N=normal, A=abnormal, Z=not monitored)",Y,Label,,"Recode other than N, A, Z to missing ",,CTGCD,"0=N=normal, 1=A=abnormal, 2=Z=not monitored"
159,FETALPH,Lowest fetal pH (numeric or NONE),Y,Numeric,,Recode > 14 to missing,>14,,
160,MECONIUM,"Meconium stained liquor (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",,MECONICD,"0=N=no, 1=Y=yes, 9=missing"
161,BIRTHDAT,Infant's date of birth (DDMMYY),Y,Date,,,,,
162,BIRTHTIM,Infants time of birth (HHMM),N,Numeric,,,,,
163,PLACDAT,Date of delivery of placenta (DDMMYY),N,Date,,,,,
164,PLACTIM,Time of delivery of placenta (HHMM),N,Numeric,,,,,
165,SEX,"Sex (M=male, F=female, I=indeterminate)",Y,Label,,"Recode other than M, F, I to missing ",@,SEXCD,"0=M=male, 1=F=female, 2=I=indeterminate, 9=missing"
166,BIRTHWGT,Birthweight (g),Y,Numeric,BIRTHWGT >= 200,,,,
167,GEST,Gestation (weeks),Y,Numeric,,Recode < 5 or > 44 to missing,"0-4,>44",,
168,CONGABS,"Congenital abnormalities (Y=yes, N=no, ?=query)",Y,Label,,"Recode other than Y, N, ? to missing ","@, E, P",CONGABCD,"0=N=no, 1=Y=yes, 2=?=query, 9=missing"
169,PRESDEL,"Presentation of fetus at delivery (V=vertex, B=breech, O=other cephalic, Z=other)",Y,Label,,"Recode other than V, B, O, Z to missing ",X,PRESDECD,"0=V=vertex, 1=B=breech, 2=O=other cephalic, 3=Z=other, 9=missing"
170,METHDEL,"Method of delivery (S=spontaneous, C=emergency caesarean, E=elective, L=lift out forceps, R=rotational forceps, O=other forceps, V=ventouse, A=assisted breech, B=breech extraction)",Y,Label,,"Recode other than S, C, E, L, R, O, V, A, B to missing ",,METHDECD,"0=S=spontaneous, 1=C=emergency caesarean, 2=E=elective caesarean, 3=L=lift out forceps, 4=R=rotational forceps, 5=O=other forceps, 6=V=ventouse, 7=A=assisted breech, 8=B=breech extraction"
171,OUTCOME,"Outcome (L=liveborn and still living, N=neonatal death, A=antepartum stillbirth, I=intrapartum stillbirth, X=indeterminate stillbirth, Y=spontaneous abortion, Z=induced abortion)",Y,Label,,"Recode other than L, N, A, I, X, Y, Z to missing ",,OUTCOMCD,"0=L=liveborn and still living, 1=N=neonatal death, 2=A=antepartum stillbirth, 3=I=intrapartum stillbirth, 4=X=indeterminate stillbirth, 5=Y=spontaneous abortion, 6=Z=induced abortion"
172,PLACEDL,"Place of delivery (T=this hospital, I=in transit, H=home, O=other)",Y,Label,,"Recode other than T, I, H, O to missing ","N, Z",PLACEDCD,"0=T=this hospital, 1=I=in transit, 2=H=home, 3=O=other"
173,REASCHG,"Reason for change of place of delivery (C=change of address, U=unintentionally in labour, P=pregnancy - clinical reasons, L=labour - clinical reasons, O=other reasons - pregnancy, Z=other reasons - labour)",Y,Label,,"Recode other than C, U, P, L, O, Z to missing ","E, R",REASCHCD,"0=C=change of address, 1=U=unintentionally in labour, 2=P=pregnancy - clinical reasons, 3=L=labour - clinical reasons, 4=O=other reasons - pregnancy, 5=Z=other reasons - labour, 9=missing"
174,DELBY,"Person conducting delivery (M=midwife, A=agency midwife, H=hospital doctor, G=GP, C=community midwife, O=other, U=unattended in labour)",Y,Label,,"Recode other than M, A, H, G, C, O, U to missing ",R,DELBYCD,"0=M=midwife, 1=A=agency midwife, 2=H=hospital doctor, 3=G=GP, 4=C=community midwife, 5=O=other, 6=U=unattended in labour, 9=missing"
175,SPECPDEL,"Specified place of delivery (N=NHS hospital, X=GP maternity home, P=private, O=other hospital, Z=other, C=consultant facility, M=mixed consultant/GP facility)",N,Label,,,,,
176,BRCHDIAG,"Undiagnosed breech delivery (D=diagnosed, U=undiagnosed)",Y,Label,,"Recode other than D, U (u) to missing ","(, ., /, ?, @, 1, 2, 3, 4, 6, a, A, b, B, c, C, E< F, g, G, H, I, K, l, L, M, n, N, o, O, p, P, q, Q, R, S, T, V, w, W, X, Y, Z",BRCHDICD,"0=D=diagnosed, 1=U=undiagnosed, 9=missing"
177,BTHPOOL,"Use of birth pool (N=not used, L=labour only, D=delivery only, B=both labour and delivery, U=unknown)",Y,Label,,"Recode other than N (n), L, D, B (b), U (u) to missing ","), ., /, ?, @, 0, 3, 7, 9, a, A, c, C, D, E, f, F, G< H, i, I, K, M, o, O, P, r, R, S, t, T, V, w, W, X, Y",BTHPOOCD,"0=N=not used, 1=L=labour only, 2=D=delivery only, 3=B=both labour and delivery, 4=U=unknown"
178,INFETHNI,"Infants's ethnic group (pre 1995) (C=Caucasian, A=Black African, W=Black Caribbean, I=Indo-Pakistani, O=Oriental, M=Mediterranean, Z=Other) (and combinations)",Y,Label,,"Recode other than C, A, W, I, O, M and Z (and post 1995 equivalents) to missing","&&&&, HISH, XGKC",,"0=C=Caucasian, 1=A=Black African, 2=W=Black Caribbean, 3=I=Indo-Pakistani, 4=O=Oriental, 5=M=Mediterranean, 6=Z=Other, 9=missing"
179,APGAR1,Apgar score at 1 minute,Y,Numeric,,,,,
180,APGAR5,Apgar score at 5 minutes,Y,Numeric,,,,,
181,ONSRESP,Onset of regular respiration (minutes),Y,Numeric,,Recode > 60 to missing,>60,ONSRESCD,Numeric recoding
182,RESUSPP,"Resuscitation positive pressure (N=nil, M=mask, I=intubation, C=cardiac massage and intubation)",Y,Label,,"Recode other than N, M, I, C to missing ",Y,RESUSPCD,"0=N=nil, 1=M=mask, 2=I=intubation, 3=C=cardiac massage and intubation, 9=missing"
183,RESUSDG,"Resuscitation drugs used (N=none, X=naloxone, S=sodium bicarbonate, O=other)",Y,Label,,"Recode other than N, X, S, O to missing ",,RESUSDCD,"0=N=none, 1=X=naloxone, 2=S=sodium bicarbonate, 3=O=other"
184,OTHDELCM,"Other delivery complications (Y=yes, N=no)",N,Label,,,,,
185,INFNO,Infant's hospital number (hospital specific),N,Label,,,,,
186,PLACE,Birth place (hospital specific or DOM),N,Label,,,,,
187,PAEDGEST,Paediatric assessment of gestation (weeks),Y,Numeric,,Recode < 5 or > 44 to missing,"0-4,>44",,
188,HEADCIRC,Birth head circumference (cm),Y,Numeric,,Recode <20 or >40 to missing,"0-19,>40",,
189,BLENGTH,Birth length (cm),Y,Numeric,,Recode <32 or >65 to missing,"0-31,>65",,
190,HIP,"Hip examination (N=normal, D=doubtful, A=abnormal, Z=not examined)",Y,Label,,"Recode other than N, D, A, Z to missing ","1, #",HIPCD,"0=N=normal, 1=D=doubtful, 2=A=abnormal, 3=Z=not examined"
191,CONVUL,"Convulsions (A=absent, P=present)",Y,Label,,"Recode other than A, P to missing ","D, #",CONVULCD,"0=A=absent, 1=P=present, 9=missing"
192,OABNML,"Other abnormal behaviour (A=absent, P=present)",N,Label,,,,,
193,JAUNDICE,"Jaundice present (A=absent, P=present)",Y,Label,,"Recode other than A, P to missing ","D, N",JAUNDICD,"0=A=absent, 1=P=present, 9=missing"
194,BILI,Maximum bilirubin level (mmol),Y,Numeric,,Recode <1 or >600 to missing,"<1,>600",,
195,INBTHCMP,"Other infant post-natal complications (Y=yes, N=no)",N,Label,,,,,
196,CONGDISH,"Congenital abnormalities noted at discharge? (Y=yes, N=no, ?=query)",N,Label,,,,,
197,SCBU,"Infant taken to SCBU (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ",,SCBUCD,"0=N=no, 1=Y=yes"
198,ADSCBU,Date of admission to SCBU (DDMMYY),N,Date,,,,,
199,DISSCBU,Discharge date from SCBU (DDMMYY),N,Date,,,,,
200,HIGHNEO,"Highest level of neonatal care (N=normal, S=special, H=high intensive, I=maximum intensive)",Y,Label,,"Recode other than N, S, H, I to missing","&, 0, 1, 2, 3, D, E, R",HIGHNECD,"4=N=normal, 5=S=special, 6=H=high intensive, 7=I=maximum intensive, 0, 1, 2, 3, 9=missing"
201,TCARE,"Transitional care (Y=yes, N=no)",Y,Label,,"Recode other than Y, N to missing ","&, S",TCARECD,"0=N=no, 1=Y=yes, 9=missing"
202,CORD,"Cord separation (S=separated, N=not separated)",N,Label,,,,,
203,GUTHRIE,"Guthrie test (D=done, N=not done)",N,Label,,,,,
204,BCG,"BCG vaccination given (G=given, N=not given)",N,Label,,,,,
205,HAEMPATH,"Haemoglobinopathy (D=done, N=not done)",N,Label,,,,,
206,INFHB,Infant's haemoglobin level,N,Numeric,,,,,
207,INFBGP,"Infant's blood group (A, B, O, AB)",N,Label,,,,,
208,INFCMBS,"Coomb's test (D=done, N=not done)",N,Label,,,,,
209,CONDINF,"Condition of infant at discharge (blank=not known (presumed fit for discharge), F=fit for discharge, S=still in hospital, N=neonatal death, I=in another hospital)",Y,Label,,"Recode other than F, S, N, I, blank to missing ","C, D, E",CONDINCD,"0=blank=not known (presumed fit for discharge), 1=F=fit for discharge, 2=S=still in hospital, 3=N=neonatal death, 4=I=in another hospital, 9=missing"
210,DINFDISH,Date of discharge of infant (DDMMYY),N,Date,,,,,
211,DISCHWT,Infant weight at discharge (g),N,Numeric,,,,,
212,FEEDING,"Feeding at discharge (B=breast, A=artificial, S=supplemented)",N,Label,,,,,
213,DESTINF,"Destination of infant at discharge (M=mother's home, R=relative's care, F=foster/residential care, O=other hospital - treatment, S=other hospital - social)",N,Label,,,,,
214,INFFU,"Infant follow-up (N=none, T=this hospital, O=other hospital, B=both hospitals)",N,Label,,,,,
215,INFMEDIC,Infant medication at discharge,N,Label,,,,,
216,INDTHDAT,Date of infant's death (DDMMYY),N,Date,,,,,
217,TIMDEATH,Time of infant's death (HHMM),N,Date,,,,,
218,AUTOPSY,"Autopsy performed (Y=yes, N=no)",N,Label,,,,,
219,IICDCMPS,"Infant's complications ICD codes (Y=yes, N=no)",N,Label,,,,,
220,IICDCMP1,Infant's complications ICD code 1,N,Label,,,,,
221,IICDCMP2,Infant's complications ICD code 2,N,Label,,,,,
222,IICDCMP3,Infant's complications ICD code 3,N,Label,,,,,
223,IICDCMP4,Infant's complications ICD code 4,N,Label,,,,,
224,IICDCMP5,Infant's complications ICD code 5,N,Label,,,,,
225,IICDOCMP,Other infant's complications coded (coding uncertain),N,Label,,,,,
226,IICDOCP1,Other infant's complications code 1,N,Label,,,,,
227,IICDOCP2,Other infant's complications code 2,N,Label,,,,,
228,IICDOCP3,Other infant's complications code 3,N,Label,,,,,
229,IICDOCP4,Other infant's complications code 4,N,Label,,,,,
230,IICDOCP5,Other infant's complications code 5,N,Label,,,,,
231,ICDCNGAB,"Infant's congenital abnormalities coded (Y=yes, N=no)",N,Label,,,,,
232,ICDCNGB1,Infant's congenital abnormalities code 1,N,Label,,,,,
233,ICDCNGB2,Infant's congenital abnormalities code 2,N,Label,,,,,
234,ICDCNGB3,Infant's congenital abnormalities code 3,N,Label,,,,,
235,ICDCNGB4,Infant's congenital abnormalities code 4,N,Label,,,,,
236,ICDCNGB5,Infant's congenital abnormalities code 5,N,Label,,,,,
237,DAY28,Infant's condition at 28 days,N,Label,,,,,
238,CENTILE,Birthweight centile,Y,Numeric,,,,,
239,LENGLAB,Length of 2nd stage of labour (HHMM),N,Numeric,,Recode numbers HHMM with MM>59 to missing,,LENGLCD,Duration of labour (HHMM)
240,TIMSCBU,Days spent in SCBU,Y,Numeric,,Recode < 0 or > 365 to missing,"<0,>365",,
241,AGEDEATH,Age at neonatal death (days),N,Numeric,,Recode to missing? (John H to give answer),,,
242,LENG2STG,Length of 2nd stage of labour (HHMM),Y,Numeric,,Recode numbers HHMM with MM>59 to missing,,LENG2SCD,Length of 2nd stage of labour in seconds (in HHMMSS format)
243,DAYATDTH,Days old at death,Y,Numeric,,Any still alive,,,
244,LENG3STG,Length of 3rd stage of labour (HHMM) (missing),Y,Numeric,,Recode numbers HHMM with MM>59 to missing,,LENG3SCD,Length of 3rd stage of labour in seconds (in HHMMSS format)
245,INTHOSDL,Intended hospital of delivery,N,Label,,,,,
246,REASON,Reason antenatal care discontinued,N,Label,,,,,
247,SPECOPDL,"Specified other place of delivery (N=NHS hospital, X=GP maternity home, P=private, O=other hospital, Z=other, C=consultant facility, M=mixed consultant/GP facility)",N,Label,,,,,
248,METHSTER,"Method of sterilization (T=tube division ligation, L=laparoscopy, O=other, N=none)",N,Label,,,,,
249,MDEST,Destination of mother,N,Label,,,,,
250,BORNAT,Actual hospital of delivery,N,Label,,,,,
251,INFNHSNO,Infant's NHS number (not used?),N,Label,,,,,
252,TIMDISH,Time of discharge of infant (missing),N,Numeric,,,,,
253,ETHNICCD,Mothers ethnic group code,N,Label,,,,,
254,ETHNICP,Mothers ethnic group PAS code,N,Label,,,,,
255,INFETHCD,Infants ethnic group code,Y,Label,,,,INETHRCD,
256,INFETHP,Infants ethnic group PAS code,N,Label,,,,,
,,,,,,,,,
,Variables not used in current dataset (were in 1988-98 version),,,,,,,,
,TYPE,Record type,N,Label,,,,,
,UNBOOKED,"Reason for not booking (blank=not applicable, I=in-utero transfer, N=not formally booked, B=BBA, O=other)",N,Label,,"Recode other than B, I, N, O, blank to missing","U, Y",UNBOOKCD,"0=blank=not applicable, 1=I=in-utero transfer, 2=N=not formally booked, 3=B=BBA, 4=O=other, 9=missing"
,ANOPS,Antenatal operations performed (coding unknown),N,Label,,,,,
,MWARD,Ward mother transferred to (hospital specific),N,Label,,,,,
,INFCOMP,"Infant complications (Y=yes, N=no)",N,Label,,,,,
,INFMED,"Infant discharged against medical advice (Y=yes, N=no)",N,Label,,,,,
,OTHCDISH,"Other conditions noted at discharge (A=absent, P=present)",N,Label,,,,,
,INFPNST,Length of infant's post-natal stay in hospital (days)?,N,Numeric,,,,,
,DOWNRISK,Down's syndrome risk factor?,N,Numeric,,,,,
,BMI,Maternal body mass index,N,Numeric,,Recode to missing if MHEIGHT or MWEIGHT are missing,,BMICD,MWEIGHT/(MHEIGHT/100)**2
,TIMPLDEL,?,N,Numeric,,,,,
,MRLIGION,Mother's religion,N,Label,,,,,
,INFCOMPS,?,N,Label,,,,,
,MPCDEVAL,?,N,Label,,,,,
,YR,Year? (duplicates YEAR?),N,Numeric,,,,,
,,,,,,,,,
,New Variables,,,,,,,,
,BMICD,Body mass index (recalculated so as to be missing when height and weight are),Y,Numeric,,,,,
,RMBOOKBP,Maternal diastolic blood pressure at booking rounded to nearest 5,Y,Numeric,,,,,
,RBMI,Body mass index rounded to nearest 1,Y,Numeric,,,,,
,RHIGHBP,Highest antenatal diastolic blood pressure rounded to nearest 5,Y,Numeric,,,,,
,RBOOKHB,Maternal haemoglobin level at booking rounded to nearest 1,Y,Numeric,,,,,
,RLOWHB,Lowest antenatal haemoglobin level rounded to nearest 1,Y,Numeric,,,,,
,LATEBOOK,"Those booking after 20 weeks (0=0-20 weeks gestation at booking, 1=21+ weeks gestation at booking)",Y,Numeric,,,,,
,PET,"Preeclamptic toxaemia (0=normotensive (booking BP<=90, gestation age at booking<=20, highest BP<=90, no proteinuria), 1=kidney disease (booking BP<=90, gestation age at booking<=20, highest BP<=90, proteinuria), 2=essential hypertension (booking BP>90, gestation age at booking<=20, highest BP>90, no proteinuria), 3=pregnancy-induced hypertension (booking BP<=90, gestation age at booking<=20, highest BP>90, no proteinuria), 4=preeclamptic toxaemia (booking BP<=90, gestation age at booking<=20, highest BP>90, proteinuria), 5=essential hypertension leading to preeclamptic toxaemia (booking BP>90, gestation age at booking<=20, highest BP>90, proteinuria))",Y,Numeric,,Recode any with booking BP>90 and highest BP<=90 or with gestation age at booking >20 to missing,Any with booking BP>90 and highest BP<=90 or with gestation age at booking >20,,
,INCRBPCD,Increase in antenatal maternal diastolic blood pressure (=HIGHBP-MBOOKBP),Y,Numeric,,,,,
,DECRHBCD,Decrease in antenatal maternal haemoglobin (=MBOOKHB-LOWHB),Y,Numeric,,,,,
,PERDTHCD,"Perinatal mortality (0=liveborn and still living (OUTCOME=L and CONDINF not equal to N), 1=liveborn but neonatal death (either OUTCOME=N or CONDINF=N), 2=antepartum stillbirth (OUTCOME=A), 3=intrapartum stillbirth (OUTCOME=I), 4=indeterminate stillbirth (OUTCOME=X), 5=spontaneous abortion (OUTCOME=Y), 6=induced abortion (OUTCOME=Z))",N,Numeric,,Recode any with CONDINF=D to missing,Any with CONDINF=D,,
,INFDDTHC,Date of death,N,Numeric,,Any still alive,,,
,PERDTNCD,"Perinatal mortality (0=liveborn and living >365 days after birth, 1=liveborn and living 28-365 days after birth, 2=liveborn and living 7-27 days after birth, 3=liveborn and living 0-6 days after birth, 4=antepartum stillbirth (OUTCOME=A), 5=intrapartum stillbirth (OUTCOME=I), 6=indeterminate stillbirth (OUTCOME=X), 7=spontaneous abortion (OUTCOME=Y), 8=induced abortion (OUTCOME=Z))",Y,Numeric,,Recode any with OUTCOME missing to missing,,,
,DGESUS,Days of gestation predicted from ultrasound,Y,Numeric,,,,,
,DGESLMP,Days of gestation predicted from last menstrual period,Y,Numeric,,,,,
,WGEST,"Best estimate of completed weeks of gestation (using ultrasound, LMP)",Y,Numeric,,,,,
,DGEST,"Best estimate of days of gestation (using ultrasound, LMP)",Y,Numeric,,,,,
,SEXRCD,"Sex code (0=male, 1=female)",Y,Numeric,,,,,
,PERDT7,"Perinatal mortality (up to 7 days after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,PERDT28,"Perinatal mortality (up to 28 days after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,PERDTYR,"Perinatal mortality (up to year after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,NEODT7,"Neonatal mortality (up to 7 days after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,NEODT28,"Neonatal mortality (up to 28 days after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,NEODTYR,"Neonatal mortality (up to year after birth) (0=no, 1=yes)",Y,Numeric,,,,,
,RBIRTHWT,Birthweight rounded to nearest 100 g,Y,Numeric,,,,,
,IPPV,Intermittent positive pressure ventilation,Y,Numeric,,,,,"0=no IPPV, 1=intubated IPPV"
,MIPPV,Masked intermittent positive pressure ventilation,Y,Numeric,,,,,"0=no IPPV or intubated IPPV, 1=Masked IPPV"
,TIPPV,Total (masked + intubated) intermittent positive pressure ventilation,Y,Numeric,,,,,"0=no IPPV, 1=Total (masked + intubated) IPPV"
,RDECRHB,Rounded decrease in maternal Hb (rounded to nearest 1),Y,Numeric,,,,,
